Experiment -> WED
Endowment  ->   0.00
Chance to play computer ->   0.10%
(Left = 0 ; Right = 1)
Round    Subj   Part    Subj Choice  Part Choice    Pay off   Tot Earn
  34     11      9          1            1             0.04       1.83
  34     12      3          0            0             0.07       1.75
  35      1      5          0            0             0.07       1.64
  35      2     10          1            1             0.04       1.80
  35      3     12          0            0             0.07       2.02
  35      4      7          0            0             0.07       1.65
  35      5      1          0            0             0.07       1.94
  35      6      8          0            0             0.07       1.79
  35      7      4          0            0             0.07       1.92
  35      8      6          0            0             0.07       1.61
  35      9     11          1            1             0.04       1.64
  35     10      2          1            1             0.04       1.44
  35     11      9          1            1             0.04       1.87
  35     12      3          0            0             0.07       1.82
  36      1      5          0            1             0.00       1.64
  36      2     10          1            1             0.04       1.84
  36      3     12          0            0             0.07       2.09
  36      4      7          0            0             0.07       1.72
  36      5      1          1            0             0.12       2.06
  36      6      8          0            0             0.07       1.86
  36      7      4          0            0             0.07       1.99
  36      8      6          0            0             0.07       1.68
  36      9     11          1            1             0.04       1.68
  36     10      2          1            1             0.04       1.48
  36     11      9          1            1             0.04       1.91
  36     12      3          0            0             0.07       1.89
  37      1      5          1            0             0.12       1.76
  37      2     10          1            1             0.04       1.88
  37      3     12          0            0             0.07       2.16
  37      4      7          0            0             0.07       1.79
  37      5      1          0            1             0.00       2.06
  37      6      8          0            0             0.07       1.93
  37      7      4          0            0             0.07       2.06
  37      8      6          0            0             0.07       1.75
  37      9     11          1            1             0.04       1.72
  37     10      2          1            1             0.04       1.52
  37     11      9          1            1             0.04       1.95
  37     12      3          0            0             0.07       1.96
  38      1      5          1            1             0.04       1.80
  38      2     10          1            1             0.04       1.92
  38      3     12          0            0             0.07       2.23
  38      4      7          0            0             0.07       1.86
  38      5      1          1            1             0.04       2.10
  38      6      8          0            0             0.07       2.00
  38      7      4          0            0             0.07       2.13
  38      8      6          0            0             0.07       1.82
  38      9     11          1            1             0.04       1.76
  38     10      2          1            1             0.04       1.56
  38     11      9          1            1             0.04       1.99
  38     12      3          0            0             0.07       2.03
  39      1      5          1            1             0.04       1.84
  39      2     10          1            1             0.04       1.96
  39      3     12          0            0             0.07       2.30
  39      4      7          0            0             0.07       1.93
  39      5      1          1            1             0.04       2.14
  39      6      8          0            0             0.07       2.07
  39      7      4          0            0             0.07       2.20
  39      8      6          0            0             0.07       1.89
  39      9     11          1            1             0.04       1.80
